countyFIPS,County_Name,State,Date,Confirmed,Deaths,population,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_staffed_adult_icu_beds,inpatient_beds_utilization,percent_of_inpatients_with_covid,inpatient_bed_covid_utilization,adult_icu_bed_covid_utilization,adult_icu_bed_utilization,reporting_cutoff_start,deaths_covid
0,statewide unallocated,AL,13-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,14-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,15-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,16-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,17-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,18-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,19-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,20-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,21-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,22-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,23-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,24-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,25-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,26-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,27-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,28-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,29-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,30-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,31-03-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,01-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,02-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,03-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,04-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,05-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,06-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,07-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,08-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,09-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,10-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,11-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,12-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,13-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,14-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,15-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,16-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,17-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,18-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,19-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,20-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,21-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,22-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
0,statewide unallocated,AL,23-04-20,0,0,0,0,8,15066,11277,1880,424,417,1839,1662,1574,0.748506571,0.171830728,0.129120879,0.282855237,0.895171537,09-02-22,28
