week,AZ,CO,GA,MI,NC,WA
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.02626432177050945
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.039396482655764176
2020-03-15,0.0,0.017364921746716642,0.018836962603825808,0.010013160296577792,0.0,0.1050572870820378
2020-03-22,0.013738684990775159,0.0868246087335832,0.08476633171721613,0.14018424415208908,0.009534629966731769,0.17071809150831144
2020-03-29,0.08243210994465096,0.2083790609605997,0.16953266343443227,0.6208159383878231,0.028603889900195304,0.23637889593458505
2020-04-05,0.10990947992620127,0.3646633566810495,0.3013914016612129,1.201579235589335,0.07627703973385415,0.3414361830166229
2020-04-12,0.1373868499077516,0.3299335131876162,0.3202283642650387,1.3017108385551128,0.11441555960078122,0.2495110568198398
2020-04-19,0.19234158987085223,0.6425021046285158,0.3013914016612129,1.3617898003345796,0.17162333940117183,0.2101145741640756
2020-04-26,0.15112553489852676,0.39939320017448277,0.34848380817077745,1.0513818311406682,0.1811579693679036,0.17071809150831144
2020-05-03,0.35720580976015415,0.3299335131876162,0.2919729203593,0.7109343810570232,0.17162333940117183,0.17071809150831144
2020-05-10,0.28851238480627833,0.5730424176416492,0.2542989951516484,0.5006580148288896,0.14301944950097653,0.14445376973780197
2020-05-17,0.2335576448431777,0.3299335131876162,0.31080988296312584,0.480631694235734,0.11441555960078122,0.09192512619678307
2020-05-24,0.19234158987085223,0.2952036696941829,0.23546203254782258,0.3404474500836449,0.20022722930136713,0.13132160885254726
2020-05-31,0.2747736998155032,0.2083790609605997,0.2260435512459097,0.6108027780912453,0.1525540794677083,0.06566080442627363
2020-06-07,0.2747736998155032,0.1736492174671664,0.3579022894726903,0.18023688533840024,0.1525540794677083,0.1050572870820378
2020-06-14,0.31598975478782865,0.10418953048029984,0.2542989951516484,0.11014476326235571,0.14301944950097653,0.09192512619678307
2020-06-21,0.4808539746771306,0.06945968698686657,0.18836962603825808,0.10013160296577792,0.14301944950097653,0.09192512619678307
2020-06-28,0.4396379197048051,0.06945968698686657,0.10360329432104194,0.09011844266920012,0.11441555960078122,0.07879296531152835
2020-07-05,0.6731955645479828,0.0868246087335832,0.17895114473634516,0.14018424415208908,0.123950189567513,0.11818944796729253
2020-07-12,1.126572169243563,0.06945968698686657,0.20720658864208388,0.07009212207604454,0.19069259933463537,0.0525286435410189
2020-07-19,1.0853561142712376,0.10418953048029984,0.4238316585860807,0.04005264118631117,0.20022722930136713,0.09192512619678307
2020-07-26,0.9067532093911606,0.1215544522270165,0.44266862118990646,0.09011844266920012,0.247900379135026,0.18385025239356614
2020-08-02,0.7693663594834089,0.034729843493433284,0.46150558379373224,0.08010528237262234,0.26696963906848953,0.14445376973780197
2020-08-09,0.7006729345295332,0.10418953048029984,0.6404567285300774,0.10013160296577792,0.247900379135026,0.17071809150831144
2020-08-16,0.522070029649456,0.05209476524014992,0.5556903968128613,0.10013160296577792,0.23836574916829423,0.17071809150831144
2020-08-23,0.4945926596679057,0.06945968698686657,0.6310382472281645,0.08010528237262234,0.21929648923483067,0.07879296531152835
2020-08-30,0.39842186473247965,0.05209476524014992,0.5274349529071226,0.1301710838555113,0.2765042690352213,0.09192512619678307
2020-09-06,0.2060802748616274,0.05209476524014992,0.41441317728416777,0.1501974044486669,0.21929648923483067,0.07879296531152835
2020-09-13,0.3022510697970535,0.06945968698686657,0.40499469598225485,0.08010528237262234,0.25743500910175776,0.07879296531152835
2020-09-20,0.3022510697970535,0.06945968698686657,0.40499469598225485,0.11014476326235571,0.28603889900195306,0.1050572870820378
2020-09-27,0.16486421988930192,0.034729843493433284,0.2825544390573871,0.11014476326235571,0.25743500910175776,0.1050572870820378
2020-10-04,0.10990947992620127,0.13891937397373313,0.34848380817077745,0.14018424415208908,0.1811579693679036,0.09192512619678307
2020-10-11,0.12364816491697643,0.15628429572044977,0.2731359577554742,0.18023688533840024,0.2097618592680989,0.09192512619678307
2020-10-18,0.09617079493542612,0.10418953048029984,0.2637174764535613,0.2603421677110226,0.09534629966731768,0.1050572870820378
2020-10-25,0.21981895985240255,0.13891937397373313,0.21662506994399677,0.2503290074144448,0.23836574916829423,0.13132160885254726
2020-11-01,0.32972843977860383,0.27783874794746627,0.2919729203593,0.2603421677110226,0.5148700182035155,0.13132160885254726
2020-11-08,0.3022510697970535,0.3472984349343328,0.33906532686886454,0.7009212207604454,0.22883111920156243,0.14445376973780197
2020-11-15,0.3022510697970535,0.6598670263752324,0.21662506994399677,0.7109343810570232,0.3909198286360025,0.18385025239356614
2020-11-22,0.32972843977860383,0.486217808908066,0.20720658864208388,0.8310923046159567,0.1811579693679036,0.1575859306230567
2020-11-29,0.5907634546033319,0.920340852575982,0.2448805138497355,1.201579235589335,0.5148700182035155,0.2626432177050945
2020-12-06,0.783105044474184,1.2850042092570315,0.31080988296312584,1.2516450370722239,0.38138519866927073,0.09192512619678307
2020-12-13,1.209004279188214,1.163449757030015,0.2825544390573871,1.2416318767756462,0.5339392781369791,0.4202291483281512
2020-12-20,0.0686934249538758,0.6251371828817991,0.3579022894726903,0.8711449458022679,0.05720777980039061,0.0525286435410189
2020-12-27,2.1432348585609247,0.7987864003489655,0.23546203254782258,0.8711449458022679,0.905789846839518,0.1050572870820378
