week,AZ,CO,GA,MI,NC,WA
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.013132160885254726
2020-03-01,0.0,0.017364921746716642,0.009418481301912904,0.0,0.0,0.18385025239356614
2020-03-08,0.013738684990775159,0.22574398270731635,0.08476633171721613,0.05006580148288896,0.038138519866927074,0.9455155837383402
2020-03-15,0.17860290488007707,0.9377057743226986,0.6122012846243388,1.0814213120304015,0.20022722930136713,1.956691971902954
2020-03-22,1.3189137591144153,3.525079114583478,2.2886909563648357,5.437146041041741,1.0202054064402992,4.661917114265427
2020-03-29,2.445485928357978,6.095087533097542,5.4721376364113965,13.297476873855308,2.0022722930136716,4.333613092134059
2020-04-05,2.692782258191931,5.226841445761709,6.291545509677819,13.577845362159486,2.5838847209843094,5.659961341544786
2020-04-12,2.596611463256505,7.154347759647257,7.789084036681971,9.582594403824947,2.469469161383528,3.571947760789285
2020-04-19,3.0637267529428605,8.63036610811817,6.489333617017991,8.591291534463744,2.879458249952994,3.4012296692809736
2020-04-26,4.094128127250998,7.866309551262638,6.6965402056600745,7.379699138577832,4.4526721944637355,3.2305115777726625
2020-05-03,5.097052131577584,7.918404316502788,5.594577893336265,4.636093217315517,3.8901290264265618,3.2173794168874075
2020-05-10,5.248177666476111,5.834613706896792,4.153550254143591,5.146764392440985,4.929403692800324,2.9284718774118037
2020-05-17,4.726107636826655,5.660964489429625,5.302604972976964,4.0152772789276945,6.454944487477407,2.547639211739417
2020-05-24,6.306056410765798,5.591504802442759,7.271067565076762,2.7235796006691593,6.750518016446092,3.296172382198936
2020-05-31,12.158736216836017,4.341230436679161,6.272708547073994,9.872976052425702,9.458352926997915,3.9921769091174366
2020-06-07,17.68168758312763,2.899941931701679,6.988513126019375,2.5733821962204924,10.964824461741534,3.913383943805908
2020-06-14,30.101458814788373,3.299335131876162,8.090475438343184,2.4832637535512925,11.880148938547784,4.977088975511541
2020-06-21,39.74601567831254,4.150216297465278,14.937711344833865,2.9839217683801817,12.433157476618225,5.988265363676154
2020-06-28,48.099136152703835,4.566974419386477,22.048664727778107,4.145448362783206,15.169596277070244,7.14389552157857
2020-07-05,49.80273309155995,6.754954559472774,25.43931799646675,5.377067079262274,16.513979102379423,7.380274417513156
2020-07-12,41.875511851882685,7.918404316502788,28.660438601720966,7.11935697086681,19.317160312598563,12.843253345779122
2020-07-19,36.84715314525898,9.915370317375203,30.242743460442334,6.047948819132986,17.8869658175888,10.768371925908875
2020-07-26,33.288833732648214,8.63036610811817,31.297613366256577,8.170738802007477,17.410234319252208,10.571389512630054
2020-08-02,17.860290488007706,7.588470803315173,30.016699909196422,6.638725276631076,14.778676448434242,7.682314117874014
2020-08-09,12.859409151365549,6.234006907071274,28.038818835794714,7.199462253239433,12.223395617350127,9.783459859514771
2020-08-16,10.235320318127494,5.070557150041259,23.52736629217843,6.1380672618021865,13.529639922792379,6.94691310829975
2020-08-23,6.7044782754982775,5.348395897988725,21.530648256172896,6.84900164285921,15.57958536563971,6.145851294299211
2020-08-30,8.298165734428196,3.9939320017448274,18.337783094824424,8.230817763786945,14.626122368966533,5.489243250036475
2020-09-06,5.124529501559135,5.591504802442759,14.98480375134343,8.1607256417109,10.793201122340362,4.963956814626286
2020-09-13,10.633742182859974,8.543541499384588,15.851304031119417,7.199462253239433,11.59411003954583,5.108410584364088
2020-09-20,6.429704575682774,10.314763517549686,13.00692267794172,8.951765305140546,18.81182492436178,6.776195016791438
2020-09-27,7.020468030286106,8.404622125410855,11.283340599691659,9.802883930349658,14.740537928567313,6.6974020514799095
2020-10-04,8.971361298976179,14.239235832307646,12.008563659938952,11.635292264623393,17.534184508819724,6.736798534135674
2020-10-11,10.674958237832298,16.687689798594693,13.760401182094752,16.1412143980834,18.992982893729682,8.706622666923883
2020-10-18,12.48846465661462,22.38338413151775,13.995863214642574,19.926188990189804,17.14326468018372,6.841855821217711
2020-10-25,18.011416022906236,27.36711667282543,14.297254616303787,30.369915179520444,17.944173597389188,11.556301579024158
2020-11-01,22.44901127492661,58.39823183420807,14.542135130153524,35.18624528217436,28.56575138032838,15.81112170584669
2020-11-08,30.747177009354807,77.56910544258324,17.330005595519744,73.46655709599126,24.399118084866597,22.03576596545743
2020-11-15,43.73023432563733,87.91859880362635,22.717376900213925,72.10476729565667,32.045891318185475,25.266277543230093
2020-11-22,53.85564516383862,75.91943787664516,21.097398116284904,68.78039807719286,35.27813087690755,36.37608565215559
2020-11-29,70.9053532373906,79.54870652170894,29.216128998533826,64.71505499678227,41.35169016571568,28.129088616215622
2020-12-06,85.74313302742777,70.17164877848195,38.644028781748645,52.39886783199158,56.692909782187094,43.51998117373416
2020-12-13,89.57622613985404,52.00794063141634,43.04245954974197,41.58465471168757,57.90380778796203,42.96843041655346
2020-12-20,10.537571387924547,42.21412476626816,45.93393330942923,26.715111671269547,24.198890855565228,14.11707295164883
2020-12-27,167.914207957254,38.584856121204375,53.56290316397868,27.426046052326573,93.12473088506918,30.913106723889623
2021-01-03,133.8422691801316,49.055903934474514,61.097688205509,34.03473184806791,75.50473470654887,32.48896603012019
2021-01-10,116.88873190151506,36.04957754618375,61.20129149983005,27.52617765529235,73.34037370410077,37.0983545008446
2021-01-17,95.09917750614565,28.47847166461529,53.41220746314808,21.48824199645594,61.317205316052004,30.768652954151822
2021-01-24,74.62853686989067,24.91866270653838,43.54163905874335,18.82474135756625,54.25204451070376,21.392290082079946
2021-01-31,50.46218997111716,22.921696705665966,31.485982992294836,14.849516719824866,52.94580020526151,16.021236280010765
2021-02-07,31.860010493607593,21.654057418155652,25.241529889126582,11.665331745513127,37.185056870253895,14.826209639452584
2021-02-14,21.267484365719948,16.930798703048726,18.799288678618154,10.06322609806068,29.099690658465356,10.75523976502362
2021-02-21,20.841585131005917,18.962494547414572,19.081843117675543,12.977055744364819,25.190492372105332,11.175468913351772
2021-02-28,12.96931863129175,20.57743226985922,13.647379406471797,14.809464078638554,18.563924545226755,8.982398045514232
2021-03-07,18.684611587454217,17.347556824969924,10.030682586537242,19.535675738623272,13.195927873956768,9.100587493481525
2021-03-14,5.19322292651301,13.96139708436018,10.284981581688891,29.578875516090797,18.182539346557483,10.059235238105119
2021-03-21,8.5179846942806,22.8522370186791,10.162541324764023,46.180695287816775,14.025440681062431,11.727019670532469
2021-03-28,8.710326284151451,23.077981001386416,9.022905087232562,64.32454174521574,14.511706809365752,13.657447320664915
2021-04-04,10.27653637309982,26.134207228808545,8.778024573382826,73.45654393569468,18.039519897056508,14.826209639452584
2021-04-11,6.828126440415255,28.721580569069324,8.98523116202491,75.96984717013571,19.46017976209954,17.347584529421493
2021-04-18,11.18328958249098,28.895229786536493,8.636747353854133,54.28134196774821,18.029985267089774,18.0698533781105
2021-04-25,9.493431328625634,30.09340938705994,7.892687331003013,40.29295703342903,17.457907469085868,17.912267447487444
2021-05-02,9.438476588662535,23.755212949508365,6.790725018679203,30.910625835535644,14.597518479066338,17.478906138274038
2021-05-09,9.02631603893928,21.54986788767535,5.340278898184616,20.416833844722117,12.08037616784915,16.152557888863313
2021-05-16,6.731955645479828,14.638629032482129,4.210061141955068,14.288779743216509,8.743255679493032,9.245041263219326
2021-05-23,9.891853193358115,13.475179275452113,3.3718163060848196,8.100646679931433,7.341665074383462,15.443421201059557
2021-05-30,4.657414211872779,10.158479221829236,2.448805138497355,4.265606286342139,4.805453503232811,8.0631467835464
2021-06-06,3.9567412773432458,10.210573987069385,2.7784519840643065,2.9038164860075595,4.128494775594856,6.408494512004306
2021-06-13,5.632860846217815,7.380091742354573,2.26985399376101,1.6721977695284913,3.2894473385224603,6.0276618463319185
2021-06-20,6.938035920341456,7.310632055367706,2.0155549986093613,1.7623162121976914,3.032012329420702,6.973177430070259
2021-06-27,7.1441161952030825,6.7723194812194905,2.222761587251445,1.8424214945703137,2.7459734304187493,3.913383943805908
