state_name,state,dem_votes,rep_votes,diff_votes
Delaware,DE,292903,190312,102591
Indiana,IN,968092,1706724,-738632
Missouri,MO,1225771,1720202,-494431
Montana,MT,250860,328548,-77688
New Hampshire,NH,264639,516609,-251970
North Carolina,NC,2834790,2586604,248186
North Dakota,ND,90789,235479,-144690
Utah,UT,442754,918754,-476000
Vermont,VT,99214,248412,-149198
Washington,WA,2294243,1749066,545177
West Virginia,WV,237024,497944,-260920
