countyFIPS,County Name,No Diploma,High School,Associate's,Bachelor's,Graduate,Foreign Born
0500000US45015,"Berkeley County, South Carolina",10161,45798,16146,26348,15714,14424
0500000US45019,"Charleston County, South Carolina",15784,59965,24725,83680,52525,27593
0500000US45031,"Darlington County, South Carolina",5212,16543,4145,5779,3159,500
0500000US45035,"Dorchester County, South Carolina",8470,28188,12160,21573,9789,12332
0500000US45041,"Florence County, South Carolina",7650,32478,7492,14001,9250,4286
0500000US45045,"Greenville County, South Carolina",28421,81955,35699,84340,46504,48428
0500000US45047,"Greenwood County, South Carolina",3588,15192,5849,7532,5028,1838
0500000US45051,"Horry County, South Carolina",18931,86478,28015,40789,23979,23562
0500000US45055,"Kershaw County, South Carolina",4346,14904,4793,7227,3975,1818
0500000US45057,"Lancaster County, South Carolina",5169,19629,9513,10915,5236,6986
0500000US45059,"Laurens County, South Carolina",4765,16057,5224,6035,3207,3282
0500000US45063,"Lexington County, South Carolina",16035,54718,22534,39954,22264,15283
0500000US45073,"Oconee County, South Carolina",5260,17969,5501,8629,6700,2485
0500000US45075,"Orangeburg County, South Carolina",6568,18616,6911,6300,5886,298
0500000US45077,"Pickens County, South Carolina",7403,23780,9064,11982,9494,5541
0500000US45079,"Richland County, South Carolina",17257,56656,21517,65474,45985,28234
0500000US45083,"Spartanburg County, South Carolina",19890,62044,21199,34514,22685,21222
0500000US45085,"Sumter County, South Carolina",5138,21517,8017,9718,5711,2957
0500000US45091,"York County, South Carolina",9355,45682,19270,43129,24036,18168
0500000US46099,"Minnehaha County, South Dakota",4852,32467,15053,32765,12535,15757
0500000US46103,"Pennington County, South Dakota",4064,21464,8002,16370,8575,2670
0500000US47001,"Anderson County, Tennessee",4395,20336,5621,6867,5030,3550
0500000US47009,"Blount County, Tennessee",7319,34844,5784,14073,8262,4775
0500000US47011,"Bradley County, Tennessee",7729,25330,5318,12261,4723,5363
0500000US47037,"Davidson County, Tennessee",30860,95929,30329,137107,83852,94396
0500000US47059,"Greene County, Tennessee",4856,20957,3191,5631,3946,1399
0500000US47065,"Hamilton County, Tennessee",17933,62378,23303,58117,32896,21350
0500000US47093,"Knox County, Tennessee",17230,80802,27868,71144,48276,24343
0500000US47113,"Madison County, Tennessee",4715,22257,4615,11007,6739,3099
0500000US47119,"Maury County, Tennessee",5105,22694,6924,12076,4700,3306
0500000US47125,"Montgomery County, Tennessee",5656,35410,16897,24752,15193,12634
0500000US47141,"Putnam County, Tennessee",3326,17266,3114,10016,5010,3757
